GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CARPOOL,org.se2final.model.objects.dao,CarsDAO,846,0,76,0,146,0,51,0,13,0
CARPOOL,org.se2final.model.objects.dao,AbstractDAO,24,12,0,0,8,5,1,2,1,2
CARPOOL,org.se2final.model.objects.dao,ReservationDAO,372,0,38,0,71,0,26,0,7,0
CARPOOL,org.se2final.model.objects.dao,UserDAO,377,82,28,6,64,21,19,7,4,5
CARPOOL,org.se2final.gui.ui.gui.components,CarAddEditViewWindow.ImageUploaderintern,83,0,0,0,14,0,3,0,3,0
CARPOOL,org.se2final.gui.ui.gui.components,MenuBandDefault,88,0,0,0,17,0,3,0,3,0
CARPOOL,org.se2final.gui.ui.gui.components,Footer,13,0,0,0,5,0,1,0,1,0
CARPOOL,org.se2final.gui.ui.gui.components,LoginWindow,173,0,2,0,48,0,4,0,3,0
CARPOOL,org.se2final.gui.ui.gui.components,RegisterEditProfileWindow,499,0,40,0,101,0,24,0,4,0
CARPOOL,org.se2final.gui.ui.gui.components,ConfirmDelete,272,0,20,0,55,0,13,0,3,0
CARPOOL,org.se2final.gui.ui.gui.components,MenuBandUser,85,0,0,0,14,0,1,0,1,0
CARPOOL,org.se2final.gui.ui.gui.components,CarAddEditViewWindow,707,0,16,0,136,0,16,0,8,0
CARPOOL,org.se2final.gui.ui.gui.components,Menu,79,0,2,0,14,0,7,0,6,0
CARPOOL,org.se2final.gui.ui.gui.components,ReservationWindow,185,0,0,0,38,0,3,0,3,0
CARPOOL,org.se2final.control,DataInputCheck,11,0,0,0,5,0,2,0,2,0
CARPOOL,org.se2final.control,SearchControl,18,0,2,0,7,0,5,0,4,0
CARPOOL,org.se2final.control,ImageUploader,204,0,20,0,28,0,14,0,4,0
CARPOOL,org.se2final.control,SearchControlProxy,11,0,0,0,4,0,2,0,2,0
CARPOOL,org.se2final.control,RegCheck,109,0,20,0,25,0,15,0,5,0
CARPOOL,org.se2final.control,LoginCheck,138,0,10,0,26,0,8,0,3,0
CARPOOL,org.se2final.control,HashFunktionsKlasse,29,0,0,0,11,0,2,0,2,0
CARPOOL,org.se2final.service.db,JDBCConnection,67,58,3,3,20,20,4,7,2,6
CARPOOL,org.se2final.service.db,ZugangDB,3,0,0,0,2,0,1,0,1,0
CARPOOL,org.se2final.model.objects.dto,Cars,96,0,0,0,39,0,20,0,20,0
CARPOOL,org.se2final.model.objects.dto,User,24,52,0,0,9,23,1,15,1,15
CARPOOL,org.se2final.model.objects.dto,Reservation,63,0,0,0,26,0,14,0,14,0
CARPOOL,org.se2final.gui.ui.service.konstanten,Status,3,0,0,0,1,0,1,0,1,0
CARPOOL,org.se2final.gui.ui.service.konstanten,Roles,3,0,0,0,2,0,1,0,1,0
CARPOOL,org.se2final.gui.ui.service.konstanten,Views,3,0,0,0,2,0,1,0,1,0
CARPOOL,org.se2final.control.exceptions,NoSuchUserOrPassword,3,0,0,0,1,0,1,0,1,0
CARPOOL,org.se2final.control.exceptions,DatabaseException,13,0,0,0,6,0,3,0,3,0
CARPOOL,org.se2final.gui.ui.views,Main,75,0,0,0,15,0,3,0,3,0
CARPOOL,org.se2final.gui.ui.views,Reservations,564,0,20,0,133,0,25,0,15,0
CARPOOL,org.se2final.gui.ui.views,MyCars,258,0,4,0,63,0,12,0,10,0
CARPOOL,org.se2final.gui.ui.views,Landing,320,0,10,0,68,0,15,0,10,0
CARPOOL,org.se2final.gui.ui,MyUI.MyUIServlet,3,0,0,0,1,0,1,0,1,0
CARPOOL,org.se2final.gui.ui,MyUI,53,0,2,0,11,0,3,0,2,0
